"HH1","HH2","UF4","Index_Birth_Registered_R","Index_Disabled_Child_R","Index_Mother_Disabled_R","Birth_of_Child_not_wanted","Disability_Dummy_Ref","Religion_Belief_Dummy","Ethnic_Immigration_Dummy","Sex_Dummy","Sexual_Orientation_Dummy","Age_Dummy","Other_Reason_Dummy","level_of_education_mother_r","Mother_Health_Insurance","HouseHead_Religiosity_R","family_economic_status"
21,10,4,1,NA,0,NA,0,0,0,0,0,0,0,0,1,1,1
21,10,4,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,1
21,18,4,1,0,0,NA,0,0,0,0,0,0,0,NA,1,1,NA
21,18,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA
21,18,4,1,NA,0,NA,0,0,0,0,0,0,0,NA,1,1,NA
21,18,4,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
21,19,2,1,NA,0,0,0,1,1,0,0,0,0,NA,1,1,1
21,19,2,1,1,0,0,0,1,1,0,0,0,0,NA,1,1,1
21,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,NA
21,2,1,1,NA,0,1,0,0,0,0,0,0,0,0,1,1,NA
21,3,4,1,NA,0,0,0,0,0,0,0,0,0,NA,1,1,1
21,3,4,1,NA,0,NA,0,0,0,0,0,0,0,0,1,1,1
21,3,4,1,0,0,0,0,0,0,0,0,0,0,NA,1,1,1
21,3,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,1
21,3,4,1,NA,0,0,0,0,0,0,0,0,0,NA,1,1,1
21,3,4,1,NA,0,NA,0,0,0,0,0,0,0,0,1,1,1
21,6,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,NA
21,6,2,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA
21,7,2,1,0,1,NA,0,0,0,0,0,0,0,NA,NA,1,1
21,7,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
21,7,2,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,1
21,7,2,1,NA,1,NA,0,0,0,0,0,0,0,NA,NA,1,1
21,7,2,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,1
21,7,2,1,NA,1,NA,0,0,0,0,0,0,0,0,1,1,1
22,1,2,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,1
22,11,6,1,NA,1,0,0,0,0,0,0,0,0,NA,1,1,0
22,11,6,1,NA,1,NA,0,0,0,0,0,0,0,0,1,1,0
22,11,6,1,0,1,0,0,0,0,0,0,0,0,NA,1,1,0
22,11,6,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,0
22,14,2,1,0,1,NA,0,0,0,0,0,0,0,0,0,1,NA
22,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
22,20,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
22,7,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
22,7,2,1,NA,0,1,0,0,0,0,0,0,0,0,1,1,1
23,12,4,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
23,12,4,1,0,1,NA,0,0,0,0,0,0,0,NA,1,1,NA
23,13,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23,13,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,1
23,13,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23,13,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,1
23,13,4,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,1
23,13,4,1,NA,0,NA,0,0,0,0,0,0,0,0,1,1,1
23,14,4,1,NA,0,0,0,0,0,0,0,0,0,1,0,1,1
23,15,4,1,0,0,NA,0,0,0,0,0,0,0,NA,1,1,1
23,15,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,1
